x1,y1,x2,y2
  526.5,  394.9,  518.1,  379.2
  525.9,  395.0,  518.2,  379.1
  525.4,  395.0,  518.1,  379.7
  525.0,  395.0,  518.1,  380.3
  525.2,  394.6,  518.1,  380.9
  525.5,  394.1,  518.2,  380.9
  525.6,  393.8,  517.8,  381.2
  525.5,  394.3,  517.3,  381.6
  525.3,  394.8,  516.9,  382.0
  525.3,  395.0,  517.0,  381.7
  525.2,  395.0,  517.2,  381.4
  525.3,  394.8,  517.5,  381.1
  525.4,  394.3,  517.7,  381.2
  525.2,  393.8,  517.8,  381.2
  524.7,  393.7,  517.8,  381.2
  524.6,  394.0,  517.8,  380.8
  524.9,  394.6,  518.1,  380.4
  525.3,  394.9,  518.3,  380.0
  525.1,  395.0,  517.9,  380.4
  524.7,  394.6,  517.4,  380.7
  524.3,  394.3,  517.0,  381.2
  524.0,  394.9,  517.3,  381.4
  523.7,  395.7,  517.6,  381.6
  523.4,  396.3,  518.0,  381.5
  523.4,  395.9,  518.2,  381.5
  524.0,  395.5,  518.1,  381.4
  524.6,  395.3,  517.6,  381.2
  524.8,  395.2,  517.1,  381.0
  523.9,  395.0,  517.2,  381.0
  523.1,  394.8,  517.7,  381.3
  522.8,  394.7,  517.5,  381.8
  521.8,  394.6,  516.0,  382.2
  520.1,  394.3,  513.8,  382.2
  516.9,  393.9,  511.4,  381.9
  514.6,  393.6,  509.4,  381.7
  512.3,  392.6,  508.1,  380.9
  511.4,  391.7,  507.6,  380.2
  510.6,  390.9,  506.6,  379.4
  510.6,  390.3,  505.8,  379.1
  510.8,  389.8,  505.1,  378.9
  511.3,  389.4,  505.2,  378.8
  511.6,  389.6,  505.4,  378.5
  511.7,  389.8,  505.6,  378.1
  512.2,  390.3,  505.7,  378.0
  513.1,  390.9,  505.5,  378.6
  514.1,  391.5,  505.3,  379.0
  514.5,  391.5,  505.3,  378.9
  514.6,  391.6,  505.8,  378.7
  514.7,  391.6,  506.3,  378.6
  514.7,  391.7,  506.6,  379.2
  514.7,  391.8,  506.4,  379.7
  514.5,  391.8,  506.4,  380.2
  514.2,  391.9,  506.7,  379.5
  513.5,  392.4,  506.9,  378.8
  512.9,  392.8,  507.0,  378.2
  512.9,  393.3,  506.9,  378.3
  513.5,  392.5,  506.9,  378.4
  514.0,  391.8,  507.0,  378.7
  513.9,  391.1,  507.0,  379.1
  513.7,  391.3,  507.1,  379.5
  513.3,  391.7,  507.1,  379.4
  513.0,  392.2,  507.1,  379.2
  512.6,  393.1,  507.3,  379.7
  512.5,  393.9,  507.5,  380.2
  512.6,  394.4,  506.9,  380.6
  513.0,  393.7,  506.2,  380.5
  513.7,  393.1,  506.0,  380.3
  514.3,  393.1,  506.5,  380.1
  514.6,  393.7,  507.1,  380.0
  514.6,  394.3,  507.0,  379.9
  514.5,  394.3,  506.9,  380.1
  514.8,  394.5,  506.8,  380.1
  515.1,  394.7,  506.8,  379.6
  515.3,  394.8,  506.8,  379.2
  514.7,  394.8,  506.9,  379.1
  514.2,  395.0,  507.0,  379.4
  513.8,  395.2,  506.9,  380.9
  513.9,  395.4,  506.1,  382.0
  514.1,  395.1,  505.4,  382.8
  513.9,  394.9,  505.6,  382.6
  513.6,  395.0,  506.3,  382.4
  513.3,  395.3,  507.0,  382.5
  513.3,  395.3,  506.9,  382.5
  513.5,  395.0,  507.4,  382.6
  513.7,  394.7,  508.0,  382.6
  513.7,  394.9,  508.1,  382.8
  513.5,  395.2,  507.4,  382.9
  513.2,  395.4,  506.8,  382.6
  513.2,  395.5,  506.6,  381.8
  513.5,  395.5,  506.5,  381.0
  513.7,  396.1,  506.5,  380.7
  513.7,  396.7,  506.4,  380.9
  513.8,  397.1,  506.3,  382.4
  513.7,  396.8,  506.1,  383.8
  513.6,  396.5,  506.0,  384.7
  513.6,  396.5,  506.1,  384.2
  513.7,  396.4,  506.3,  383.5
  513.9,  396.4,  506.4,  383.1
  514.0,  396.5,  506.5,  382.9
  514.2,  396.7,  506.7,  382.7
  514.3,  396.9,  506.8,  382.6
  514.4,  396.6,  507.2,  382.5
  514.5,  396.4,  507.5,  382.6
  514.6,  396.3,  507.5,  383.0
  514.5,  396.5,  507.1,  383.5
  514.4,  396.8,  506.6,  384.1
  514.2,  397.4,  506.7,  384.6
  514.5,  397.9,  507.1,  384.6
  515.0,  397.4,  507.6,  384.2
  515.4,  396.4,  507.5,  383.8
  515.5,  395.3,  507.1,  383.5
  514.9,  396.1,  507.5,  383.5
  514.4,  397.1,  508.3,  383.8
  514.3,  397.9,  508.9,  384.8
  514.7,  397.5,  508.4,  385.5
  515.2,  397.4,  507.9,  385.9
  515.5,  397.7,  507.6,  385.5
  515.9,  397.9,  507.7,  385.1
  515.9,  397.9,  507.9,  384.9
  515.7,  397.9,  508.0,  384.9
  515.4,  397.7,  508.2,  385.4
  515.4,  397.6,  508.1,  385.9
  515.3,  397.9,  508.1,  386.3
  515.2,  398.8,  508.2,  386.3
  515.1,  399.7,  508.2,  386.3
  515.1,  400.0,  508.4,  386.2
  516.2,  400.0,  509.3,  387.1
  517.2,  400.0,  510.6,  388.1
  518.3,  399.7,  512.0,  389.0
  519.5,  399.3,  512.8,  388.8
  521.2,  399.7,  514.1,  388.4
  523.5,  400.6,  515.5,  387.7
  524.6,  401.4,  516.9,  387.2
  524.5,  401.3,  517.2,  387.1
  523.8,  401.5,  517.3,  387.6
  522.9,  401.8,  517.3,  388.5
  522.4,  402.6,  516.9,  389.7
  521.9,  403.1,  516.4,  390.7
  521.2,  403.3,  515.9,  390.3
  521.0,  402.3,  515.7,  389.4
  521.0,  401.3,  515.5,  388.6
  521.0,  400.5,  515.3,  388.9
  520.8,  400.5,  515.2,  389.1
  521.0,  400.5,  515.0,  389.2
  521.3,  400.5,  515.0,  389.2
  521.2,  400.4,  514.9,  389.1
  520.7,  400.4,  514.8,  388.9
  519.9,  400.4,  514.8,  388.5
  519.6,  400.4,  514.9,  388.0
  519.2,  400.3,  515.0,  387.7
  519.2,  400.2,  515.4,  387.7
  519.2,  400.4,  515.8,  387.6
  519.2,  400.9,  516.0,  388.0
  519.3,  401.6,  515.9,  388.7
  519.4,  402.1,  514.8,  389.2
  519.8,  402.5,  513.7,  389.7
  520.2,  402.6,  512.9,  389.6
  520.2,  402.7,  513.1,  389.6
  519.8,  402.7,  513.3,  389.2
  519.5,  402.6,  513.6,  389.0
  519.7,  402.5,  514.0,  388.8
  520.0,  402.8,  515.0,  388.9
  520.5,  403.3,  515.6,  389.0
  520.7,  403.8,  515.6,  389.3
  520.8,  404.0,  515.0,  389.3
  520.7,  404.2,  514.3,  389.4
  520.5,  404.4,  514.1,  389.4
  520.4,  404.4,  513.8,  389.6
  520.7,  404.4,  513.7,  389.7
  521.1,  404.4,  513.7,  389.5
  521.3,  404.3,  514.3,  389.2
  521.2,  404.2,  514.8,  389.4
  521.1,  404.0,  515.3,  389.9
  521.2,  404.1,  515.0,  390.6
  521.3,  404.3,  514.9,  390.7
  520.9,  404.4,  514.9,  390.6
  520.4,  404.6,  515.1,  389.9
  519.9,  404.9,  514.9,  389.3
  519.9,  405.4,  514.6,  388.9
  520.0,  405.5,  514.3,  389.1
  519.9,  405.3,  514.2,  389.4
  519.8,  405.0,  514.1,  389.7
  519.8,  404.9,  514.0,  389.8
  519.8,  405.0,  513.9,  389.9
  519.6,  405.3,  513.6,  390.0
  519.3,  405.5,  513.3,  390.1
  519.1,  405.5,  512.9,  390.1
  519.4,  405.1,  513.4,  390.3
  519.7,  405.3,  513.9,  390.5
  519.8,  405.7,  514.4,  390.7
  519.6,  405.6,  514.3,  390.6
  519.1,  405.1,  514.2,  390.4
  518.6,  404.8,  514.2,  390.2
  518.5,  405.3,  514.4,  390.0
  518.4,  405.8,  514.3,  390.4
  518.1,  406.2,  514.0,  390.9
  517.9,  406.3,  513.9,  391.6
  518.1,  406.3,  513.9,  392.0
  518.4,  406.1,  514.0,  392.2
  518.4,  405.7,  513.8,  392.4
  518.1,  405.5,  513.8,  392.6
  517.9,  405.6,  513.9,  392.8
  518.1,  406.0,  513.4,  392.5
  518.3,  406.4,  512.8,  392.0
  518.3,  406.3,  512.6,  391.7
  518.3,  406.2,  513.1,  391.9
  518.2,  406.8,  513.8,  392.3
  518.0,  407.4,  514.4,  392.7
  517.8,  408.1,  514.9,  392.8
  517.7,  408.0,  514.5,  392.6
  517.7,  408.1,  513.7,  392.4
  517.8,  408.2,  513.1,  392.3
  517.9,  408.4,  513.3,  392.4
  518.5,  408.7,  513.6,  392.7
  519.1,  408.9,  513.7,  393.0
  519.6,  409.1,  513.7,  393.3
  519.4,  409.3,  513.7,  393.3
  519.3,  409.4,  513.8,  392.7
  519.2,  409.5,  514.0,  392.1
  519.1,  409.5,  515.0,  391.4
  518.8,  409.5,  516.0,  391.3
  518.4,  409.5,  516.3,  391.7
  518.1,  409.5,  516.2,  392.3
  517.8,  409.4,  515.9,  392.8
  517.7,  409.0,  516.3,  392.7
  517.5,  408.6,  516.1,  392.5
  517.5,  408.3,  516.2,  391.8
  517.5,  408.1,  515.7,  391.0
  517.6,  408.0,  515.1,  390.4
  517.6,  407.9,  514.4,  390.6
  517.5,  407.9,  514.3,  391.1
  517.4,  408.0,  514.7,  391.3
  517.2,  408.1,  515.1,  391.3
  517.0,  408.3,  515.6,  391.3
  517.1,  408.3,  515.2,  391.2
  517.5,  408.3,  514.9,  390.8
  518.1,  408.5,  515.2,  390.3
  518.2,  408.5,  515.9,  390.0
  518.1,  408.6,  516.4,  390.3
  517.7,  408.5,  516.3,  391.0
  517.4,  408.5,  516.2,  391.7
  517.2,  408.4,  516.0,  392.8
  517.4,  408.4,  515.7,  393.6
  517.4,  409.2,  515.4,  394.3
  517.3,  410.4,  514.7,  393.5
  517.1,  411.6,  514.1,  392.7
  517.1,  412.0,  513.6,  392.0
  517.1,  411.9,  514.0,  392.3
  517.4,  411.7,  514.3,  392.6
  517.7,  411.6,  514.6,  392.7
  518.4,  411.3,  514.4,  393.5
  518.9,  411.1,  514.1,  394.2
  519.1,  410.9,  513.7,  394.7
  518.6,  411.0,  513.5,  394.2
  517.7,  411.0,  513.3,  393.7
  517.1,  411.0,  513.8,  393.6
  517.0,  411.0,  514.1,  394.1
  517.7,  411.3,  513.8,  394.7
  518.4,  411.6,  513.1,  395.1
  518.4,  411.7,  512.5,  395.0
  517.8,  411.5,  512.5,  394.3
  517.1,  411.3,  512.9,  393.7
  517.1,  411.4,  513.3,  393.6
  517.5,  411.5,  513.6,  394.1
  517.9,  411.5,  513.7,  394.7
  517.9,  411.4,  513.7,  394.8
  517.8,  412.2,  513.4,  394.8
  517.6,  412.9,  512.9,  394.8
  517.4,  413.5,  512.4,  394.8
  517.4,  413.4,  512.2,  395.0
  517.3,  413.1,  512.4,  395.2
  517.3,  413.0,  512.9,  395.1
  517.4,  412.8,  513.1,  395.0
  517.4,  413.3,  513.1,  395.1
  517.5,  413.8,  513.0,  395.5
  517.6,  414.1,  512.9,  395.9
  517.6,  413.6,  512.8,  396.1
  517.4,  413.2,  512.7,  396.1
  517.1,  413.2,  512.3,  395.9
  516.8,  413.4,  511.9,  395.7
  516.7,  413.6,  511.7,  395.7
  516.9,  413.7,  511.7,  395.9
  517.1,  413.7,  511.8,  396.0
  517.3,  413.7,  511.7,  396.1
  517.2,  413.7,  511.6,  396.1
  517.1,  413.7,  511.5,  396.0
  516.9,  414.4,  511.8,  396.0
  516.8,  415.1,  512.3,  396.0
  516.8,  415.3,  512.8,  396.0
  517.1,  414.8,  513.0,  396.1
  517.4,  414.2,  512.7,  396.4
  517.1,  413.7,  512.1,  396.6
  516.7,  413.4,  511.5,  396.5
  516.8,  413.2,  511.3,  396.1
  517.4,  413.3,  512.0,  395.9
  518.1,  413.3,  512.6,  396.0
  518.2,  413.1,  513.3,  396.1
  518.2,  412.9,  513.2,  396.1
  518.3,  412.9,  513.2,  396.0
  517.7,  412.9,  512.6,  395.9
  517.1,  412.9,  511.9,  395.8
  516.9,  412.8,  511.5,  396.1
  517.2,  412.8,  511.7,  396.5
  517.4,  412.7,  512.0,  396.4
  517.2,  412.7,  512.0,  396.0
  517.5,  412.3,  512.1,  395.5
  517.9,  411.8,  512.2,  395.6
  518.1,  411.7,  512.2,  395.7
  517.5,  412.1,  512.0,  395.8
  516.9,  412.3,  511.8,  395.9
  516.7,  412.2,  511.6,  396.3
  516.9,  412.2,  511.7,  396.8
  516.8,  412.3,  511.5,  397.2
  516.9,  412.3,  511.3,  397.2
  517.0,  412.3,  511.1,  397.2
  517.0,  412.2,  511.1,  397.1
  516.8,  412.0,  511.3,  396.8
  516.5,  412.0,  511.5,  396.6
  516.4,  412.2,  511.7,  396.5
  516.0,  412.5,  511.7,  396.5
  515.6,  413.3,  510.6,  396.3
  512.2,  414.1,  506.4,  395.5
  504.5,  414.6,  497.7,  394.2
  488.3,  413.3,  483.7,  392.4
  464.4,  411.4,  465.5,  391.5
  437.2,  408.9,  444.1,  390.9
  408.6,  406.5,  422.1,  391.1
  384.2,  403.8,  400.1,  389.7
  360.1,  401.0,  380.7,  387.8
  341.3,  398.8,  362.8,  384.9
  325.8,  397.4,  347.7,  383.6
  313.6,  396.3,  333.1,  382.6
  303.5,  394.4,  321.7,  382.5
  294.9,  392.6,  312.5,  381.5
  290.1,  391.6,  306.2,  381.6
  287.8,  392.6,  301.3,  382.9
  287.5,  395.0,  298.3,  385.7
  288.2,  397.3,  297.2,  388.0
  290.3,  399.2,  298.4,  389.5
  293.4,  400.1,  300.0,  389.9
  296.6,  401.0,  302.4,  390.4
  298.7,  400.8,  304.3,  390.8
  301.0,  400.6,  306.1,  391.2
  303.2,  399.8,  307.0,  390.6
  305.3,  399.5,  306.7,  389.8
  305.5,  399.0,  306.1,  388.1
  305.0,  398.2,  303.8,  386.8
  304.5,  397.4,  301.7,  385.3
  304.6,  396.6,  299.6,  384.6
  304.6,  396.7,  298.6,  385.0
  304.6,  397.0,  297.8,  385.8
  304.5,  397.3,  297.4,  386.3
  304.5,  396.9,  297.5,  386.0
  304.6,  396.5,  297.6,  386.0
  304.7,  396.0,  297.9,  386.5
  304.9,  396.1,  298.2,  387.1
  305.6,  396.0,  298.6,  387.5
  306.2,  395.7,  298.6,  387.6
  306.6,  395.4,  298.6,  387.7
  307.2,  395.2,  298.6,  387.8
  308.1,  395.2,  299.0,  387.8
  309.6,  395.1,  299.7,  387.9
  310.3,  395.1,  300.4,  387.9
  310.6,  395.2,  300.7,  387.4
  310.2,  395.3,  300.7,  386.9
  310.8,  395.7,  300.5,  386.9
  311.6,  396.0,  300.4,  387.4
  312.5,  396.1,  300.4,  388.1
  312.6,  396.1,  300.3,  388.5
  312.7,  396.2,  300.3,  388.9
  312.7,  396.3,  300.2,  389.1
  312.7,  397.0,  299.5,  388.9
  312.7,  397.8,  298.8,  388.7
  312.7,  398.6,  298.3,  388.7
  313.2,  398.6,  298.5,  388.5
  313.8,  398.1,  298.6,  388.3
  314.7,  397.4,  299.3,  388.2
  315.1,  396.9,  300.0,  388.4
  315.5,  396.6,  300.5,  388.6
  315.2,  396.4,  300.4,  388.5
  314.6,  396.4,  300.2,  388.3
  314.4,  396.7,  300.4,  388.3
  314.8,  397.0,  300.7,  388.3
  315.5,  397.1,  301.0,  388.6
  316.6,  397.3,  301.0,  388.7
  317.7,  397.6,  301.0,  388.8
  317.6,  397.8,  300.9,  389.1
  316.9,  397.9,  300.5,  389.4
  316.5,  398.0,  300.3,  389.1
  316.9,  398.4,  300.2,  388.6
  317.5,  399.1,  300.2,  388.1
  317.7,  399.6,  300.2,  388.0
