x1,y1,x2,y2
  506.3,  371.0,  516.9,  370.7
  506.1,  371.2,  516.8,  370.9
  506.0,  371.3,  516.8,  371.0
  505.8,  371.3,  516.7,  371.1
  505.6,  371.3,  516.7,  371.1
  505.5,  371.3,  516.6,  371.2
  505.5,  371.2,  516.7,  371.2
  505.8,  370.9,  516.7,  371.3
  506.3,  370.7,  516.3,  371.5
  506.6,  370.5,  515.9,  371.7
  506.7,  370.4,  515.7,  371.5
  506.7,  370.3,  516.2,  370.8
  506.9,  370.6,  516.6,  370.3
  507.0,  370.9,  516.6,  370.3
  506.6,  371.1,  516.7,  370.8
  506.2,  370.4,  517.0,  370.6
  506.4,  369.9,  517.5,  370.1
  507.1,  369.5,  517.7,  369.7
  507.6,  370.2,  517.5,  369.7
  507.2,  371.1,  517.1,  370.3
  506.7,  372.0,  516.6,  370.8
  506.3,  371.9,  516.5,  370.9
  505.9,  371.6,  516.6,  370.4
  505.6,  371.4,  516.7,  369.9
  505.7,  371.5,  516.5,  369.2
  505.9,  371.7,  516.4,  368.3
  506.1,  371.3,  516.7,  367.7
  506.2,  370.9,  517.2,  367.9
  506.3,  370.6,  517.7,  368.5
  506.3,  370.8,  517.5,  368.7
  506.3,  370.9,  517.4,  368.6
  506.2,  370.9,  517.5,  368.1
  506.2,  371.1,  517.5,  367.6
  506.3,  371.4,  517.4,  367.3
  506.3,  372.1,  517.7,  367.7
  506.2,  372.5,  518.1,  368.4
  505.9,  372.8,  518.3,  369.0
  505.7,  372.8,  517.6,  369.0
  505.7,  373.0,  517.1,  368.3
  505.9,  373.2,  517.1,  367.7
  506.2,  373.1,  517.6,  367.3
  506.5,  372.9,  518.1,  367.2
  506.5,  372.8,  518.2,  366.6
  506.3,  373.4,  518.2,  366.1
  505.9,  373.9,  518.3,  366.2
  505.3,  374.1,  518.2,  367.0
  504.8,  374.0,  518.2,  367.7
  504.8,  373.9,  518.1,  367.8
  505.2,  373.4,  518.1,  367.9
  505.4,  373.0,  518.1,  368.1
  505.5,  372.5,  518.0,  368.2
  505.4,  372.8,  517.9,  368.2
  505.3,  372.9,  517.8,  367.7
  505.4,  372.8,  517.7,  367.1
  505.6,  372.6,  517.6,  366.6
  505.2,  372.3,  517.3,  366.6
  504.8,  372.1,  517.0,  366.7
  504.4,  372.2,  516.7,  366.9
  504.5,  372.4,  516.7,  367.0
  504.9,  372.4,  516.3,  367.2
  505.2,  372.1,  515.9,  367.4
  505.4,  371.6,  515.8,  367.6
  505.4,  371.4,  516.4,  367.8
