x1,y1,x2,y2
  511.1,  379.0,  531.0,  367.8
  511.8,  379.4,  531.1,  367.7
  512.5,  379.9,  530.9,  367.6
  512.9,  380.1,  530.7,  367.6
  512.6,  380.5,  530.4,  368.1
  512.3,  381.2,  530.3,  368.5
  512.2,  381.8,  530.4,  369.2
  512.3,  381.6,  530.5,  369.4
  511.9,  381.0,  530.7,  368.6
  511.5,  380.5,  531.2,  367.7
  511.0,  380.1,  531.7,  366.8
  511.1,  379.6,  531.8,  366.8
  511.3,  379.0,  531.4,  367.2
  511.3,  378.6,  531.1,  367.6
  511.6,  378.6,  531.2,  367.9
  511.8,  378.8,  531.3,  367.8
  512.0,  379.0,  531.0,  367.7
  512.0,  379.0,  530.8,  367.8
  511.9,  378.9,  530.7,  368.0
  511.7,  378.8,  530.6,  368.4
  511.3,  378.1,  530.7,  368.7
  510.7,  377.4,  530.8,  368.8
  510.0,  377.1,  530.9,  368.8
  509.9,  377.6,  530.9,  368.6
  510.2,  378.1,  530.5,  368.4
  510.6,  378.0,  530.0,  368.1
  510.4,  377.2,  529.4,  368.4
  510.0,  376.3,  529.5,  368.8
  509.4,  376.0,  529.7,  369.1
  509.2,  376.5,  529.9,  369.0
  509.3,  377.0,  529.9,  369.0
  509.6,  377.3,  529.9,  368.8
  510.0,  377.5,  530.3,  368.6
  510.4,  377.7,  530.9,  368.5
  510.9,  377.6,  531.4,  368.6
  510.8,  377.5,  531.5,  368.5
  510.3,  377.4,  531.7,  368.5
  509.6,  377.3,  531.3,  368.4
  509.4,  377.4,  531.0,  368.1
  509.4,  377.7,  530.7,  367.8
  509.9,  378.0,  530.8,  367.5
  510.5,  378.0,  530.7,  367.2
  510.8,  377.8,  530.5,  367.1
  510.9,  377.4,  530.3,  367.3
  510.9,  377.3,  530.1,  368.0
  511.0,  377.3,  529.9,  368.7
  511.0,  377.3,  529.9,  369.0
  510.6,  377.4,  530.0,  368.9
  510.1,  377.4,  530.1,  368.7
  510.1,  377.5,  530.4,  367.9
  510.5,  377.6,  530.8,  367.3
  511.3,  377.7,  531.2,  366.7
  511.6,  377.9,  531.6,  366.8
  511.7,  378.0,  531.8,  366.4
  511.4,  377.9,  531.4,  365.9
  511.0,  378.2,  530.9,  365.4
