x1,y1,x2,y2
  516.4,  392.6,  518.6,  363.2
  517.0,  392.6,  518.8,  362.4
  517.1,  392.5,  518.8,  361.7
  517.2,  392.1,  518.6,  361.7
  517.4,  391.6,  518.3,  361.9
  517.2,  391.3,  518.0,  362.5
  516.9,  391.4,  517.8,  363.0
  516.5,  391.4,  517.8,  363.4
  516.5,  391.9,  517.9,  363.4
  516.5,  392.3,  517.9,  363.8
  516.5,  392.7,  517.9,  364.4
  516.6,  392.8,  518.4,  365.1
  516.6,  392.3,  518.9,  365.2
  516.5,  391.5,  518.9,  364.5
  516.5,  390.6,  518.5,  363.0
  516.2,  390.1,  518.1,  361.8
  515.7,  389.9,  518.1,  361.2
  515.2,  389.7,  518.1,  360.7
  514.9,  389.4,  518.2,  360.0
  514.8,  389.1,  518.0,  359.4
  514.8,  388.5,  517.7,  359.5
  514.9,  388.1,  518.0,  360.3
  515.1,  387.6,  518.7,  361.2
  515.4,  387.4,  519.3,  361.9
  515.7,  387.8,  518.6,  361.8
  515.8,  388.1,  518.0,  361.8
  515.8,  388.5,  517.9,  361.8
  516.0,  388.2,  518.3,  361.8
  516.1,  387.9,  518.7,  361.7
  516.2,  387.3,  518.8,  361.3
  516.1,  386.9,  518.8,  361.1
  516.0,  386.6,  519.0,  360.9
  515.8,  386.5,  519.6,  361.5
  515.8,  386.4,  520.2,  362.1
  515.7,  386.3,  520.7,  362.7
  515.7,  386.3,  520.7,  362.9
  515.9,  386.4,  520.7,  362.8
  516.3,  386.5,  521.0,  362.6
  517.0,  386.7,  521.3,  362.4
  517.7,  386.9,  521.5,  361.9
  518.0,  387.0,  521.6,  360.6
  517.9,  387.0,  521.4,  359.2
  517.8,  387.0,  521.2,  358.6
  517.8,  386.8,  521.5,  358.8
  517.7,  386.6,  522.0,  359.0
  517.8,  386.1,  522.6,  358.9
  517.7,  385.6,  522.6,  358.2
  517.6,  385.6,  522.6,  357.5
  517.5,  386.0,  522.5,  357.5
  517.6,  386.0,  522.3,  357.9
  518.0,  385.6,  522.2,  358.3
  518.4,  385.3,  522.0,  358.1
  518.7,  385.5,  521.7,  357.6
  518.9,  385.7,  521.3,  357.1
  518.6,  385.6,  521.1,  357.9
  518.3,  385.4,  521.8,  358.9
  518.2,  385.1,  522.4,  359.9
  518.2,  385.0,  522.9,  359.3
  518.9,  384.8,  522.6,  358.7
  519.7,  384.6,  522.4,  358.2
  520.2,  384.4,  522.7,  358.4
  519.9,  384.5,  523.1,  358.6
  519.5,  384.6,  523.0,  358.5
  519.1,  384.7,  522.5,  358.3
  518.7,  385.2,  522.4,  358.2
  518.4,  385.8,  523.0,  358.3
  518.5,  386.3,  523.6,  358.2
  519.1,  386.0,  523.9,  358.0
  519.6,  385.7,  522.9,  357.6
  520.0,  385.4,  521.9,  357.5
  519.8,  385.5,  521.5,  357.7
  519.7,  385.6,  522.1,  358.4
  519.7,  385.8,  522.8,  359.0
  519.9,  386.0,  523.4,  359.3
  520.3,  386.1,  524.2,  358.5
  520.7,  386.2,  524.9,  357.5
  521.0,  386.2,  525.1,  356.4
  521.0,  386.3,  524.8,  356.3
  521.0,  386.3,  524.4,  356.7
  521.1,  386.2,  524.1,  357.1
  521.2,  386.2,  524.0,  356.8
  521.4,  385.7,  524.0,  356.2
  521.3,  385.0,  524.3,  356.1
  520.9,  384.3,  524.7,  356.3
  520.4,  384.1,  525.1,  356.5
  520.2,  384.2,  525.2,  355.8
  520.3,  384.3,  525.3,  354.6
  520.7,  383.7,  525.4,  353.5
  521.1,  383.1,  525.1,  353.9
  521.4,  382.7,  524.7,  354.8
  521.4,  383.4,  524.9,  355.8
  521.4,  384.1,  525.4,  355.7
  521.7,  384.6,  525.9,  355.8
  522.0,  385.1,  525.9,  356.1
  522.3,  385.8,  525.9,  356.2
  522.3,  386.4,  525.9,  356.1
  522.4,  386.4,  525.8,  355.8
  522.6,  386.0,  525.4,  356.0
  522.8,  385.3,  524.9,  356.3
  522.9,  384.8,  524.4,  356.7
  522.7,  384.3,  524.8,  356.8
  522.5,  383.7,  525.5,  356.9
  522.1,  383.3,  526.1,  356.7
  521.9,  383.0,  526.1,  356.3
  521.8,  382.8,  526.4,  355.9
  521.7,  382.6,  526.7,  355.6
  521.7,  382.4,  526.7,  355.3
  521.7,  382.4,  526.1,  355.0
  521.5,  381.8,  525.5,  355.0
  521.4,  381.3,  525.4,  355.2
  521.0,  380.6,  526.4,  355.6
  520.8,  380.4,  527.3,  355.9
  520.6,  380.2,  527.4,  356.7
  520.6,  380.2,  526.8,  357.3
  520.5,  380.8,  526.2,  357.6
  520.6,  381.3,  526.3,  357.2
  520.7,  381.4,  526.3,  357.0
  520.8,  380.9,  526.3,  356.9
  520.7,  380.3,  526.0,  356.9
  520.7,  380.1,  525.5,  357.2
  520.4,  380.0,  525.1,  357.5
  520.1,  380.3,  524.9,  357.8
  519.7,  380.6,  524.9,  357.4
  519.8,  380.7,  524.4,  356.9
  520.0,  380.8,  523.2,  355.9
  520.4,  380.8,  522.2,  355.2
  520.6,  380.9,  522.0,  354.2
  520.7,  380.7,  522.4,  353.5
  520.6,  380.5,  522.0,  352.9
  520.4,  380.3,  521.5,  352.8
  520.5,  380.3,  521.0,  352.8
  521.0,  380.0,  521.1,  353.1
  521.3,  379.7,  521.3,  353.3
  520.6,  379.3,  521.2,  352.9
  519.8,  379.1,  521.1,  352.5
  519.3,  378.5,  521.2,  352.1
  519.1,  377.9,  521.5,  352.0
  518.9,  377.4,  521.7,  352.0
  518.7,  377.4,  521.6,  352.0
  518.4,  377.3,  521.2,  351.9
  518.1,  377.1,  520.6,  351.6
  517.8,  376.7,  519.8,  351.3
  517.7,  376.4,  519.1,  351.0
  517.6,  376.1,  518.6,  350.9
  517.5,  376.1,  518.3,  350.9
  517.4,  376.3,  517.8,  351.1
  517.3,  376.5,  517.2,  351.9
  517.2,  376.8,  516.6,  352.7
  517.2,  376.8,  516.6,  352.8
  517.2,  377.4,  515.6,  351.8
  516.8,  377.9,  514.4,  350.8
  516.5,  377.6,  513.3,  349.7
  516.2,  376.9,  513.3,  348.9
  516.3,  375.9,  513.2,  348.8
  516.5,  375.4,  513.2,  349.4
  516.6,  374.9,  513.2,  350.0
  516.7,  374.8,  513.3,  350.1
  516.6,  375.1,  513.3,  349.7
  516.4,  375.4,  513.4,  349.4
  516.3,  375.6,  512.6,  348.9
  516.2,  375.5,  511.8,  348.9
  515.9,  375.3,  510.9,  348.7
  515.5,  375.1,  510.5,  349.4
  515.2,  375.0,  510.1,  350.2
  515.3,  374.9,  509.8,  351.0
  515.5,  374.7,  509.6,  351.3
  515.3,  374.8,  508.9,  351.3
  515.1,  374.9,  507.8,  351.2
  515.0,  375.1,  506.5,  351.8
  515.2,  375.5,  506.0,  352.6
  515.3,  375.9,  505.8,  353.6
  515.5,  376.2,  505.7,  353.9
  516.5,  376.3,  505.4,  354.5
  517.8,  377.0,  504.5,  354.8
  519.0,  377.6,  503.2,  354.9
  519.9,  378.2,  501.8,  354.7
  521.1,  378.8,  501.1,  354.8
  522.0,  380.5,  501.0,  355.2
  522.7,  382.8,  500.4,  355.7
  522.9,  385.0,  499.7,  356.2
  523.6,  386.6,  498.1,  356.7
  523.9,  388.2,  496.9,  358.2
  524.5,  390.5,  495.4,  360.7
  525.2,  392.9,  494.1,  364.0
  526.1,  395.7,  492.6,  366.9
  526.8,  398.4,  491.1,  370.0
  528.0,  400.5,  489.5,  373.7
  529.8,  401.9,  487.6,  377.8
  531.9,  402.5,  486.0,  380.9
  534.1,  405.7,  485.2,  382.6
  536.5,  414.3,  484.7,  383.3
  540.4,  431.2,  484.2,  385.5
  544.0,  454.4,  483.9,  393.0
  547.3,  481.3,  483.9,  407.4
  549.9,  510.3,  483.7,  428.8
  552.1,  541.1,  482.9,  456.3
  554.1,  573.7,  482.2,  488.5
  555.9,  608.2,  482.6,  524.9
  559.8,  646.6,  484.6,  562.7
  563.3,  673.7,  488.0,  600.5
  565.9,  688.4,  490.8,  625.2
  565.9,  688.4,  492.5,  637.2
   .,   .,  492.5,  637.2
   .,   .,  148.2,  885.3
